words	class0	class1	class2	class3	class4	class5	class6	class7	class8	class9	class10	class11	class12	class13	class14	class15	class16	class17	class18	class19
Granulicatella	0.00018613	0.02097596	0.00209632	0.00011741	0.00003426	0.00000061	1.00222402	0.00000002	0.00996794	0.00001789	0.00003828	0.00000207	0.00018302	0.00001363	0.00000000	0.00000416	0.00003667	0.00000000	0.00008650	0.00093795
Eikenella	34136.00252138	0.00000000	0.02240087	0.00001464	0.00002616	0.00000019	0.04415967	0.00000000	0.00000000	0.00000396	0.00003383	0.00000000	0.00056522	0.00000000	0.00078739	0.00000003	0.00000652	0.00000000	0.00000000	0.00060254
Peptostreptococcaceae_incertae_sedis	0.00003670	0.00129381	0.00002734	0.00000587	0.00488459	0.00000000	0.00001454	0.00000000	0.00125558	0.00000000	0.00013271	0.00007743	13.07263565	0.00001325	0.00004412	0.00000000	0.00002567	0.00000000	0.00001357	0.00022232
Aggregatibacter	0.00000061	0.00002944	0.00013206	0.00016540	10.52030970	0.00000000	0.00000000	0.00000000	0.02900435	0.00003323	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000001	0.00013903	0.00000000	0.00001590	0.00006446
Johnsonella	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.03210624	7.32048537	0.00000000	0.00000000	0.00000000	50804.75708336	0.00000000	0.00000000	0.00000000	0.00000000
Rothia	0.00019661	0.01188758	0.00050499	0.00003670	0.00007909	0.00000001	1.72086909	0.00000000	0.00329085	0.00000786	0.00002270	0.00000114	0.00006313	0.00000001	0.00000708	0.00000264	0.00001181	0.00000000	0.00019880	0.00029079
Syntrophococcus	0.00006272	0.02066814	0.00106298	0.00002238	0.00067047	0.00000010	0.27350496	0.00000000	0.00196004	0.00003372	145.98615750	0.00000052	0.00007798	0.00002426	0.00000000	0.00015152	0.00001487	0.00000000	0.00000828	0.00050823
Mogibacterium	0.00000000	0.19879344	0.00013030	0.00000000	0.00782109	0.00000039	0.00000161	0.00000000	0.00000000	0.00000317	0.00006280	0.00001621	0.00009051	0.00004368	0.00000000	0.00000075	0.00003096	0.00000000	0.00081110	0.00001582
Moraxella	362.25650607	0.00000002	0.00000295	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.97459477	0.00004126	0.00000011	0.00002072	0.00000006	0.00000000	0.00000000	0.00000000	0.00000000	0.00000136	0.00000000
SR1_genera_incertae_sedis	0.00007094	0.00592477	0.00007943	0.00004762	0.00244035	0.00000698	0.00001456	0.00000000	0.00045738	0.00001413	0.00000806	0.00000000	0.00043102	0.00000000	0.00001214	0.00000000	0.00000000	0.00000000	0.00003384	0.00000000
Solobacterium	0.00000121	0.03649290	0.00000000	0.00000000	0.00035986	0.00000004	0.26560603	0.00000001	0.00089013	0.00019342	0.00000281	0.00000397	0.00000341	0.00000000	0.00040227	0.00000182	0.00000000	0.07424186	0.00001544	0.00025719
Saccharofermentans	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.46107705	0.00000000	0.00000000	0.00000000	0.00000000
Slackia	0.00043883	0.00344861	0.00000881	0.00000516	0.00278782	0.00000005	0.00000000	0.00131269	0.00000000	0.00000000	0.00003015	0.00000199	0.00000924	0.00000001	0.00043119	0.00002503	0.00004824	0.00000000	0.00001505	0.00000660
Planobacterium	0.00002505	0.00134806	0.00068723	0.00000563	0.00000000	0.00000001	0.03771405	0.00000000	0.00059491	0.00000018	0.00003815	0.00000012	0.00000000	0.00000002	0.00000000	0.00000000	0.00000566	0.00000000	0.00000011	0.00109448
Tumebacillus	0.00020447	0.01834187	0.00006928	0.00015336	0.00064558	31.47203251	0.00003502	0.00000000	0.00710920	0.00001821	0.00002381	0.00000015	0.00120579	0.00023553	0.00000000	0.00040044	0.00000000	0.50579731	0.00006330	0.00008062
Bulleidia	0.00000000	0.00000005	0.00000301	0.00002405	0.00401826	0.00000001	0.00000000	0.00000001	0.00000000	0.00000000	0.00000000	13.16220883	0.00000637	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000021	0.00000000
Arcanobacterium	0.00000000	0.00000000	0.00000000	0.00001651	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000238	0.00000000	0.00000000	0.00000000	0.00000000
