samples	class0	class1	class2	class3	class4	class5	class6	class7	class8	class9	class10	class11	class12	class13	class14	class15	class16	class17	class18	class19
67	0.00000005	0.02691024	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.21949534	0.00000000	0.00000000	0.00000000	13.83576968	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
7	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00047791	0.00000000	0.00000000	0.00000000	0.00000000	0.00024493	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.07011387	0.00000000	0.00000000
79	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	140.20477251	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
84	0.12345157	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000059	0.00000000	0.00000000	0.47341652	0.00000000
86	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.58314879	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
9	0.00000000	0.00000000	0.00000259	0.00000000	0.00000000	0.00000000	0.00339352	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.43896411	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
14	0.00000000	0.00000000	0.00000000	5.58507476	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000009	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
18	0.00000000	0.00000000	0.89842466	0.00000000	0.00000000	0.00002178	0.00000000	0.00000000	0.00000000	0.00000000	0.00125116	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
29	0.00000000	0.01143442	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00072731	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000009	0.00000000	0.00000000	0.00000000
34	0.00000000	0.00000000	0.00000000	0.00000000	0.79344874	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000093	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
35	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	9.86485998
42	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	67.02830132	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
43	0.00000007	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.07970895	0.00000000	0.00000000	0.00000000	0.00000027	0.00000000	0.00000000	6.21705799
44	0.00000000	0.00000000	0.00000000	62.81401350	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
45	0.00000000	0.00000000	6.97059205	0.00000000	0.00000000	0.00000000	0.00081414	0.00000000	0.02652733	0.00000000	0.00000054	0.00000975	0.00000000	0.00000000	0.00000000	0.00000000	0.00000010	0.00000000	0.00000000	0.00000000
47	0.00000000	0.00000000	0.00000000	0.00000001	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	7.61544749	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
50	0.00000000	0.00666658	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000004	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
53	0.00000000	0.00000000	0.00000000	0.00000000	0.08549429	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.46018754	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
64	0.00000000	0.00000000	0.00000000	0.00000000	0.00000005	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	23.92917773	0.00000000	0.00000000	0.00000000	0.00000225	0.00000000	0.00000000	0.00000000	0.00000000
73	0.00000000	0.00000000	0.00000000	0.08520339	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000239	0.00000000	0.00001078	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.55342730	0.00000000
80	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000139	0.00000000	1068.86192675	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
22	0.00000000	0.00000000	0.00000000	0.00000000	0.09587958	0.00000000	0.00000000	0.00000000	0.00000000	76.02815962	0.00000000	0.00005402	0.00000000	0.00000035	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
46	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00002949	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00513575	0.00000000	0.00000000
6	0.00000000	0.00244029	0.00000000	0.00000028	0.00000000	0.00000000	0.00472611	0.00000008	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000026	0.67438406	0.00000000	0.00000000	0.00037585	0.00000000	0.00000000
66	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	717.80374001	0.00000000	0.00000000	0.00000000	0.00000000
76	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	18.38760661	0.00000000	0.00000000	0.00000000
77	0.00000000	0.00000000	0.00000000	0.00000000	0.00000037	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	73.13149028	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
85	0.00000001	0.00000000	2.39816986	0.00000000	0.00000000	0.00000000	0.00160775	0.00000000	0.00000000	0.00000000	0.00000001	0.00000000	0.00001901	0.00000000	0.00000000	0.00000618	0.00000000	0.00000000	0.00000000	0.00000000
