STEP	ISD
553	45310.95793250
554	45310.95767348
555	45310.95741742
556	45310.95716427
557	45310.95691397
558	45310.95666649
559	45310.95642177
560	45310.95617976
561	45310.95594043
562	45310.95570372
563	45310.95546959
564	45310.95523800
565	45310.95500891
566	45310.95478227
567	45310.95455805
568	45310.95433621
569	45310.95411671
570	45310.95389950
571	45310.95368457
572	45310.95347186
573	45310.95326135
574	45310.95305299
575	45310.95284676
576	45310.95264263
577	45310.95244055
578	45310.95224051
579	45310.95204246
580	45310.95184638
581	45310.95165223
582	45310.95146000
583	45310.95126965
584	45310.95108114
585	45310.95089447
586	45310.95070959
587	45310.95052648
588	45310.95034512
589	45310.95016547
590	45310.94998753
591	45310.94981125
592	45310.94963662
593	45310.94946362
594	45310.94929221
595	45310.94912238
596	45310.94895411
597	45310.94878738
598	45310.94862215
599	45310.94845842
600	45310.94829616
601	45310.94813535
602	45310.94797597
603	45310.94781800
604	45310.94766143
605	45310.94750622
606	45310.94735238
607	45310.94719987
608	45310.94704868
609	45310.94689880
610	45310.94675020
611	45310.94660286
612	45310.94645678
613	45310.94631194
614	45310.94616831
615	45310.94602589
616	45310.94588465
617	45310.94574459
618	45310.94560569
619	45310.94546793
620	45310.94533130
621	45310.94519578
622	45310.94506137
623	45310.94492804
624	45310.94479578
625	45310.94466459
626	45310.94453444
627	45310.94440533
628	45310.94426904
629	45310.94414199
630	45310.94401593
631	45310.94389085
632	45310.94376675
633	45310.94364361
634	45310.94352142
635	45310.94340016
636	45310.94327984
637	45310.94316043
638	45310.94303209
639	45310.94291458
640	45310.94279795
641	45310.94268219
642	45310.94256730
643	45310.94244351
644	45310.94233035
645	45310.94221802
646	45310.94210652
647	45310.94199584
648	45310.94188595
649	45310.94177687
650	45310.94166857
651	45310.94156105
652	45310.94145430
653	45310.94134832
654	45310.94124308
655	45310.94113859
656	45310.94103484
657	45310.94093181
658	45310.94082951
659	45310.94072792
660	45310.94062703
661	45310.94052684
662	45310.94042734
663	45310.94032853
664	45310.94023039
665	45310.94013291
666	45310.94003610
667	45310.93993994
668	45310.93984443
669	45310.93974956
670	45310.93965533
671	45310.93956172
672	45310.93946873
673	45310.93937636
674	45310.93928459
675	45310.93919343
676	45310.93910286
677	45310.93901289
678	45310.93891480
679	45310.93880965
680	45310.93872149
681	45310.93863389
682	45310.93854685
683	45310.93846036
684	45310.93837443
685	45310.93828904
686	45310.93820419
687	45310.93811172
688	45310.93801750
689	45310.93793430
690	45310.93785163
691	45310.93776947
692	45310.93768781
693	45310.93760667
694	45310.93752602
695	45310.93744587
696	45310.93736621
697	45310.93728703
698	45310.93720834
699	45310.93713013
700	45310.93705239
701	45310.93697512
702	45310.93689831
703	45310.93682197
704	45310.93674608
705	45310.93667065
706	45310.93659566
707	45310.93652112
708	45310.93644703
709	45310.93637337
710	45310.93630015
711	45310.93622735
712	45310.93615499
713	45310.93608305
714	45310.93601153
715	45310.93594043
716	45310.93586974
717	45310.93579946
718	45310.93572959
719	45310.93566012
720	45310.93559106
721	45310.93552239
722	45310.93545412
723	45310.93538625
724	45310.93531876
725	45310.93525165
726	45310.93518494
727	45310.93511860
728	45310.93505264
729	45310.93498706
730	45310.93492185
731	45310.93485701
732	45310.93478424
733	45310.93472016
734	45310.93465644
735	45310.93459308
736	45310.93453008
737	45310.93446743
738	45310.93440514
739	45310.93434320
740	45310.93428161
741	45310.93422036
742	45310.93415946
743	45310.93409011
744	45310.93402991
745	45310.93397005
746	45310.93391053
747	45310.93385134
748	45310.93379249
749	45310.93373397
750	45310.93365033
751	45310.93359261
752	45310.93353521
753	45310.93347813
754	45310.93342138
755	45310.93336494
756	45310.93330882
757	45310.93325301
758	45310.93319752
759	45310.93314235
760	45310.93308748
761	45310.93302858
762	45310.93297436
763	45310.93292045
764	45310.93286685
765	45310.93281354
766	45310.93276054
767	45310.93270784
768	45310.93265544
769	45310.93260334
770	45310.93255153
771	45310.93250002
772	45310.93244880
773	45310.93239787
774	45310.93234724
775	45310.93229690
776	45310.93224684
777	45310.93219707
778	45310.93214759
779	45310.93209839
780	45310.93204948
781	45310.93200085
782	45310.93195250
783	45310.93190443
784	45310.93185665
785	45310.93180914
786	45310.93176191
787	45310.93171495
788	45310.93166827
789	45310.93162186
790	45310.93157573
791	45310.93152987
792	45310.93148428
793	45310.93143896
794	45310.93139391
795	45310.93134913
796	45310.93130462
797	45310.93126037
798	45310.93121639
799	45310.93117267
800	45310.93112921
801	45310.93108602
802	45310.93104309
803	45310.93100042
804	45310.93095801
805	45310.93091586
806	45310.93087397
807	45310.93083233
808	45310.93079095
809	45310.93074983
810	45310.93070896
811	45310.93066834
812	45310.93062798
813	45310.93058787
814	45310.93054800
815	45310.93050839
816	45310.93046903
817	45310.93042992
818	45310.93039105
819	45310.93035244
820	45310.93031406
821	45310.93027593
822	45310.93023805
823	45310.93020041
824	45310.93016301
825	45310.93012585
826	45310.93008894
827	45310.93005226
828	45310.93001582
829	45310.92997962
830	45310.92994366
831	45310.92990793
832	45310.92987244
833	45310.92983718
834	45310.92980216
835	45310.92976223
836	45310.92972769
837	45310.92969337
838	45310.92965929
839	45310.92961998
840	45310.92958315
841	45310.92954978
842	45310.92951663
843	45310.92948370
844	45310.92945101
845	45310.92941853
846	45310.92938628
847	45310.92935425
848	45310.92932244
849	45310.92929086
850	45310.92925949
851	45310.92922834
852	45310.92919740
853	45310.92916669
854	45310.92913619
855	45310.92910590
856	45310.92907583
857	45310.92904597
858	45310.92901632
859	45310.92898688
860	45310.92895765
861	45310.92892864
862	45310.92889983
863	45310.92887122
864	45310.92884283
865	45310.92881464
866	45310.92878665
867	45310.92875886
868	45310.92873128
869	45310.92870390
870	45310.92867672
871	45310.92864974
872	45310.92862296
873	45310.92859637
874	45310.92856998
875	45310.92854379
876	45310.92851779
877	45310.92849198
878	45310.92846637
879	45310.92844095
880	45310.92841572
881	45310.92839067
882	45310.92836582
883	45310.92834115
884	45310.92831667
885	45310.92829238
886	45310.92826827
887	45310.92824434
888	45310.92822059
889	45310.92819131
890	45310.92816794
891	45310.92814474
892	45310.92812173
893	45310.92809889
894	45310.92807623
895	45310.92805375
896	45310.92803143
897	45310.92800929
898	45310.92798733
899	45310.92796553
900	45310.92794390
901	45310.92792245
902	45310.92790116
903	45310.92788003
904	45310.92785907
905	45310.92783828
906	45310.92781765
907	45310.92779718
908	45310.92777688
909	45310.92775673
910	45310.92773675
911	45310.92771692
912	45310.92769725
913	45310.92767774
914	45310.92765838
915	45310.92763918
916	45310.92762013
917	45310.92760123
918	45310.92758248
919	45310.92756389
920	45310.92754544
921	45310.92752714
922	45310.92750899
923	45310.92749098
924	45310.92747312
925	45310.92745540
926	45310.92743783
927	45310.92742040
928	45310.92740311
929	45310.92738596
930	45310.92736895
931	45310.92735207
932	45310.92733534
933	45310.92731874
934	45310.92730227
935	45310.92728594
936	45310.92726974
937	45310.92725368
938	45310.92723774
939	45310.92722194
940	45310.92720627
941	45310.92719072
942	45310.92717530
943	45310.92716001
944	45310.92714484
945	45310.92712979
946	45310.92711488
947	45310.92710008
948	45310.92708540
949	45310.92707085
950	45310.92705641
951	45310.92704209
952	45310.92702790
953	45310.92701381
954	45310.92699985
955	45310.92698600
956	45310.92697226
957	45310.92695864
958	45310.92694513
959	45310.92693173
960	45310.92691844
961	45310.92690526
962	45310.92689219
963	45310.92687923
964	45310.92686637
965	45310.92685362
966	45310.92684098
967	45310.92682844
968	45310.92681601
969	45310.92680367
970	45310.92679144
971	45310.92677931
972	45310.92676728
973	45310.92675535
974	45310.92674352
975	45310.92673179
976	45310.92672015
977	45310.92670861
978	45310.92669717
979	45310.92668582
980	45310.92667456
981	45310.92666340
982	45310.92665233
983	45310.92664135
984	45310.92663046
985	45310.92661966
986	45310.92660895
987	45310.92659832
988	45310.92658779
989	45310.92657734
990	45310.92656698
991	45310.92655671
992	45310.92654651
993	45310.92653641
994	45310.92652638
995	45310.92651644
996	45310.92650658
997	45310.92649680
998	45310.92648711
999	45310.92647749
1000	45310.92646795
1001	45310.92645849
1002	45310.92644910
1003	45310.92643979
1004	45310.92643056
1005	45310.92642141
1006	45310.92641233
1007	45310.92640332
1008	45310.92639439
1009	45310.92638553
1010	45310.92637675
1011	45310.92636803
1012	45310.92635939
1013	45310.92635081
1014	45310.92634231
1015	45310.92633388
1016	45310.92632551
1017	45310.92631721
1018	45310.92630898
1019	45310.92630082
1020	45310.92629272
1021	45310.92628469
1022	45310.92627672
1023	45310.92626882
1024	45310.92626098
1025	45310.92625321
1026	45310.92624550
1027	45310.92623785
1028	45310.92623026
1029	45310.92622273
1030	45310.92621527
1031	45310.92620786
1032	45310.92620051
1033	45310.92619323
1034	45310.92618600
1035	45310.92617883
1036	45310.92617171
1037	45310.92616465
1038	45310.92615765
1039	45310.92615071
1040	45310.92614382
1041	45310.92613319
1042	45310.92612642
1043	45310.92611970
1044	45310.92611303
1045	45310.92610642
1046	45310.92609986
1047	45310.92609335
1048	45310.92608690
1049	45310.92608049
1050	45310.92607414
1051	45310.92606783
1052	45310.92606158
1053	45310.92605537
1054	45310.92604922
1055	45310.92604311
1056	45310.92603705
1057	45310.92603104
1058	45310.92602507
1059	45310.92601915
1060	45310.92601328
1061	45310.92600745
1062	45310.92600167
1063	45310.92599594
1064	45310.92599025
1065	45310.92598460
1066	45310.92597900
1067	45310.92597344
1068	45310.92596792
1069	45310.92596245
1070	45310.92595702
1071	45310.92595163
1072	45310.92594628
1073	45310.92594098
1074	45310.92592745
1075	45310.92592224
1076	45310.92591708
1077	45310.92591195
1078	45310.92590687
1079	45310.92590182
1080	45310.92589682
1081	45310.92589185
1082	45310.92588692
1083	45310.92588203
1084	45310.92587717
1085	45310.92587235
1086	45310.92586757
1087	45310.92586283
1088	45310.92585812
1089	45310.92585344
1090	45310.92584881
1091	45310.92584420
1092	45310.92583964
1093	45310.92583510
1094	45310.92583060
1095	45310.92582297
1096	45310.92581854
1097	45310.92581415
1098	45310.92580979
1099	45310.92580546
1100	45310.92580117
1101	45310.92579691
1102	45310.92579268
1103	45310.92578848
1104	45310.92578431
1105	45310.92578018
1106	45310.92577607
1107	45310.92577200
1108	45310.92576795
1109	45310.92576394
1110	45310.92575995
1111	45310.92575600
1112	45310.92575207
1113	45310.92574817
1114	45310.92574431
1115	45310.92574047
1116	45310.92573665
1117	45310.92573287
1118	45310.92572911
1119	45310.92572539
1120	45310.92572169
1121	45310.92571801
1122	45310.92571436
1123	45310.92571074
1124	45310.92570715
1125	45310.92570358
1126	45310.92570004
1127	45310.92569652
1128	45310.92569303
1129	45310.92568957
1130	45310.92568613
1131	45310.92568271
1132	45310.92567932
1133	45310.92567596
1134	45310.92567261
1135	45310.92566930
1136	45310.92566600
1137	45310.92566273
1138	45310.92565948
1139	45310.92565626
1140	45310.92565306
1141	45310.92564988
1142	45310.92564673
1143	45310.92564359
1144	45310.92564048
1145	45310.92563739
1146	45310.92563433
1147	45310.92563128
1148	45310.92562826
1149	45310.92562526
1150	45310.92562228
1151	45310.92561932
1152	45310.92561638
1153	45310.92561346
1154	45310.92561056
1155	45310.92560769
1156	45310.92560483
1157	45310.92560199
1158	45310.92559917
1159	45310.92559638
1160	45310.92559360
1161	45310.92559084
1162	45310.92558810
1163	45310.92558538
1164	45310.92558268
1165	45310.92558000
1166	45310.92557733
1167	45310.92557469
1168	45310.92557206
1169	45310.92556945
1170	45310.92556686
1171	45310.92556428
1172	45310.92556173
1173	45310.92555919
1174	45310.92555266
1175	45310.92555017
1176	45310.92554770
1177	45310.92554524
1178	45310.92554280
1179	45310.92554038
1180	45310.92553797
1181	45310.92553558
1182	45310.92553321
1183	45310.92553085
1184	45310.92552851
1185	45310.92552618
1186	45310.92552387
1187	45310.92552158
1188	45310.92551930
1189	45310.92551703
1190	45310.92551478
1191	45310.92551003
1192	45310.92550781
1193	45310.92550561
1194	45310.92550343
1195	45310.92550126
1196	45310.92549911
1197	45310.92549696
1198	45310.92549484
1199	45310.92549273
1200	45310.92549063
1201	45310.92548855
1202	45310.92548648
1203	45310.92548442
1204	45310.92548238
1205	45310.92548035
1206	45310.92547834
1207	45310.92547633
1208	45310.92547435
1209	45310.92547237
1210	45310.92547041
1211	45310.92546846
1212	45310.92546652
1213	45310.92546460
1214	45310.92546269
1215	45310.92546079
1216	45310.92545890
1217	45310.92545703
1218	45310.92545517
1219	45310.92545332
1220	45310.92545148
1221	45310.92544966
1222	45310.92544785
1223	45310.92544605
1224	45310.92544426
1225	45310.92544248
1226	45310.92544071
1227	45310.92543896
1228	45310.92543721
1229	45310.92543548
